Simulation Run,Day,Round,Agent Type,Satisfaction
2,198,42,2,0.84375
2,198,43,1,0.0
2,198,43,2,0.8463541666666666
2,198,44,1,0.0
2,198,44,2,0.8463541666666666
2,198,45,1,0.0
2,198,45,2,0.8463541666666666
2,198,46,1,0.0
2,198,46,2,0.8463541666666666
2,198,47,1,0.0
2,198,47,2,0.8463541666666666
2,198,48,1,0.0
2,198,48,2,0.8463541666666666
2,198,49,1,0.0
2,198,49,2,0.8463541666666666
2,198,50,1,0.0
2,198,50,2,0.8463541666666666
2,198,51,1,0.0
2,198,51,2,0.8463541666666666
2,198,52,1,0.0
2,198,52,2,0.8463541666666666
2,198,53,1,0.0
2,198,53,2,0.8463541666666666
2,199,0,1,0.0
2,199,0,2,0.17447916666666666
2,199,1,1,0.0
2,199,1,2,0.2552083333333333
2,199,2,1,0.0
2,199,2,2,0.3020833333333333
2,199,3,1,0.0
2,199,3,2,0.3645833333333333
2,199,4,1,0.0
2,199,4,2,0.4244791666666667
2,199,5,1,0.0
2,199,5,2,0.4791666666666667
2,199,6,1,0.0
2,199,6,2,0.5234375
2,199,7,1,0.0
2,199,7,2,0.5625
2,199,8,1,0.0
2,199,8,2,0.6041666666666666
2,199,9,1,0.0
2,199,9,2,0.6302083333333334
2,199,10,1,0.0
